ds,category_id,category_name,keyword,actual,predicted,forecast_error,forecast_error_abs,forecast_error_pct,rolling_mape_4w,uncertainty_tier,source_id,model
2026-04-05,toys,Toys & Games,toys,64.0,43.28668335001952,20.713316649980477,20.713316649980477,32.3645572655945,24.028401936929736,elevated,SRC-TRENDS-001,prophet
2026-04-12,toys,Toys & Games,toys,65.0,41.992510333880126,23.007489666119874,23.007489666119874,35.396137947876724,29.27007991139475,elevated,SRC-TRENDS-001,prophet
2026-04-19,toys,Toys & Games,toys,56.0,40.40644928467362,15.59355071532638,15.59355071532638,27.84562627736853,31.689646314067545,elevated,SRC-TRENDS-001,prophet
2026-04-26,toys,Toys & Games,toys,54.0,39.63282290486194,14.36717709513806,14.36717709513806,26.60588350951493,30.55305125008867,elevated,SRC-TRENDS-001,prophet
2026-05-03,toys,Toys & Games,toys,57.0,39.83704708554187,17.16295291445813,17.16295291445813,30.11044370957567,29.989522861083962,elevated,SRC-TRENDS-001,prophet
2026-05-10,toys,Toys & Games,toys,62.0,40.350079883099184,21.649920116900816,21.649920116900816,34.91922599500132,29.870294872865117,elevated,SRC-TRENDS-001,prophet
2026-05-17,toys,Toys & Games,toys,55.0,40.69421964615721,14.305780353842792,14.305780353842792,26.010509734259625,29.411515737087885,elevated,SRC-TRENDS-001,prophet
2026-05-24,toys,Toys & Games,toys,49.0,41.12260121754664,7.877398782453362,7.877398782453362,16.07632404582319,26.77912587116495,elevated,SRC-TRENDS-001,prophet
2026-05-31,toys,Toys & Games,toys,50.0,42.06581698903602,7.934183010963977,7.934183010963977,15.868366021927956,23.21860644925302,elevated,SRC-TRENDS-001,prophet
2026-06-07,toys,Toys & Games,toys,54.0,43.38205219339682,10.617947806603183,10.617947806603183,19.6628663085244,19.404516527633792,elevated,SRC-TRENDS-001,prophet
2026-06-14,toys,Toys & Games,toys,51.0,44.48688136597698,6.513118634023023,6.513118634023023,12.770820851025524,16.09459430682527,elevated,SRC-TRENDS-001,prophet
2026-06-21,toys,Toys & Games,toys,55.0,45.14341979877887,9.856580201221128,9.856580201221128,17.921054911311156,16.55577702319726,elevated,SRC-TRENDS-001,prophet
2026-06-28,toys,Toys & Games,toys,47.0,45.75653821846233,1.2434617815376683,1.2434617815376683,2.645663364973762,13.250101358958712,elevated,SRC-TRENDS-001,prophet
2026-07-05,toys,Toys & Games,toys,49.0,46.72263163888926,2.2773683611107387,2.2773683611107387,4.647690532879058,9.496307415047372,elevated,SRC-TRENDS-001,prophet
2026-07-12,toys,Toys & Games,toys,47.0,47.743063752345385,-0.7430637523453854,0.7430637523453854,1.5809867071178412,6.698848879070452,elevated,SRC-TRENDS-001,prophet
2026-07-19,toys,Toys & Games,toys,48.0,48.11415120413228,-0.11415120413227697,0.11415120413227697,0.2378150086089103,2.278038903394893,elevated,SRC-TRENDS-001,prophet
2026-07-26,toys,Toys & Games,toys,47.0,47.66575388832735,-0.6657538883273517,0.6657538883273517,1.4164976347390463,1.9707474708362138,elevated,SRC-TRENDS-001,prophet
2026-08-02,toys,Toys & Games,toys,45.0,47.05622742906873,-2.056227429068727,2.056227429068727,4.569394286819393,1.9511734093212978,elevated,SRC-TRENDS-001,prophet
